,activation,batch_size,epochs,learning_rate,neurons,optimizer,Mean,Std
101,tanh,10,20,0.01,8,sgd,0.8026315768559774,0.007162247721582247
102,tanh,10,20,0.01,32,rmsprop,0.806530217329661,0.0018234393733773278
103,tanh,10,20,0.01,32,adam,0.8172514835993449,0.007261045345913635
104,tanh,10,20,0.01,32,sgd,0.806530217329661,0.003837248924082199
105,tanh,10,20,0.01,64,rmsprop,0.8192007939020792,0.009939598547034991
106,tanh,10,20,0.01,64,adam,0.8177388111750284,0.006574436412745357
107,tanh,10,20,0.01,64,sgd,0.8094542026519775,0.0018234128233351554
108,tanh,10,20,0.1,8,rmsprop,0.8065301974614462,0.0076744700922366585
109,tanh,10,20,0.1,8,adam,0.8128654956817627,0.0035811116940370675
110,tanh,10,20,0.1,8,sgd,0.8114035129547119,0.00782768816813859
111,tanh,10,20,0.1,32,rmsprop,0.8026315768559774,0.01074335941561472
112,tanh,10,20,0.1,32,adam,0.7982456088066101,0.01376651345290622
113,tanh,10,20,0.1,32,sgd,0.8192007939020792,0.009117090666699395
114,tanh,10,20,0.1,64,rmsprop,0.7855750322341919,0.011956966079523791
115,tanh,10,20,0.1,64,adam,0.7894736727078756,0.02526605039467336
116,tanh,10,20,0.1,64,sgd,0.8167641361554464,0.004969805118273877
117,tanh,10,20,0.2,8,rmsprop,0.805555542310079,0.004135139698999843
118,tanh,10,20,0.2,8,adam,0.8187134464581808,0.010609927076888936
119,tanh,10,20,0.2,8,sgd,0.8148148059844971,0.009648641903731324
120,tanh,10,20,0.2,32,rmsprop,0.6759259502092997,0.07015851577109097
121,tanh,10,20,0.2,32,adam,0.7353801131248474,0.11170585182310329
122,tanh,10,20,0.2,32,sgd,0.8201754490534464,0.010406497232325682
123,tanh,10,20,0.2,64,rmsprop,0.7100389997164408,0.10744260652395435
124,tanh,10,20,0.2,64,adam,0.7680311997731527,0.05410456040338791
125,tanh,10,20,0.2,64,sgd,0.8153021534283956,0.012075557521974381
126,tanh,10,20,0.3,8,rmsprop,0.7095516721407572,0.1504751481578924
127,tanh,10,20,0.3,8,adam,0.7826510667800903,0.02040974450485718
128,tanh,10,20,0.3,8,sgd,0.8221247593561808,0.009648621833800957
129,tanh,10,20,0.3,32,rmsprop,0.7314814925193787,0.039542807028772234
130,tanh,10,20,0.3,32,adam,0.7485380172729492,0.06295045635053874
131,tanh,10,20,0.3,32,sgd,0.8084795276323954,0.010940503490033776
132,tanh,10,20,0.3,64,rmsprop,0.7178362607955933,0.12923514798744162
133,tanh,10,20,0.3,64,adam,0.6988304058710734,0.08339742561132582
134,tanh,10,20,0.3,64,sgd,0.8128654956817627,0.0054702384700054665
135,tanh,20,5,0.001,8,rmsprop,0.766569197177887,0.02820625139815396
136,tanh,20,5,0.001,8,adam,0.7992202838261923,0.013148872825490715
137,tanh,20,5,0.001,8,sgd,0.5706627666950226,0.0737237849005793
138,tanh,20,5,0.001,32,rmsprop,0.7972709735234579,0.006994494227205399
139,tanh,20,5,0.001,32,adam,0.788986345132192,0.004824322958868467
140,tanh,20,5,0.001,32,sgd,0.4527290463447571,0.039955069686601695
141,tanh,20,5,0.001,64,rmsprop,0.8084795276323954,0.009012292579138007
142,tanh,20,5,0.001,64,adam,0.8036062320073446,0.004192173413990857
143,tanh,20,5,0.001,64,sgd,0.5765107075373331,0.08352831190799435
144,tanh,20,5,0.01,8,rmsprop,0.8177388111750284,0.0076744700922366585
145,tanh,20,5,0.01,8,adam,0.8143274982770284,0.0059685438235726465
146,tanh,20,5,0.01,8,sgd,0.735867460568746,0.04834642019327179
147,tanh,20,5,0.01,32,rmsprop,0.8114035129547119,0.012462678859941559
148,tanh,20,5,0.01,32,adam,0.8123781482378641,0.005888429454373776
149,tanh,20,5,0.01,32,sgd,0.7422027190526327,0.012075557521974383
150,tanh,20,5,0.01,64,rmsprop,0.8177387913068136,0.009722210371135959
151,tanh,20,5,0.01,64,adam,0.8177387913068136,0.007195328303329554
152,tanh,20,5,0.01,64,sgd,0.750000019868215,0.01806409179676851
153,tanh,20,5,0.1,8,rmsprop,0.8001949389775594,0.010429292479060473
154,tanh,20,5,0.1,8,adam,0.8148148059844971,0.01383534596521609
155,tanh,20,5,0.1,8,sgd,0.805555542310079,0.013766519782855783
156,tanh,20,5,0.1,32,rmsprop,0.8094542026519775,0.025303615858166623
157,tanh,20,5,0.1,32,adam,0.7855750521024069,0.025331761042332198
158,tanh,20,5,0.1,32,sgd,0.8094541827837626,0.005382734190041619
159,tanh,20,5,0.1,64,rmsprop,0.7631578842798868,0.04016257177948038
160,tanh,20,5,0.1,64,adam,0.8079922199249268,0.002484892817922509
161,tanh,20,5,0.1,64,sgd,0.8070175647735596,0.0020675558005504176
162,tanh,20,5,0.2,8,rmsprop,0.7811890840530396,0.025219004510671543
163,tanh,20,5,0.2,8,adam,0.800682266553243,0.02632483386781345
164,tanh,20,5,0.2,8,sgd,0.8099415302276611,0.003158243653189103
165,tanh,20,5,0.2,32,rmsprop,0.7690058350563049,0.028071180874748886
166,tanh,20,5,0.2,32,adam,0.7884990175565084,0.012651811755574574
167,tanh,20,5,0.2,32,sgd,0.8079922000567118,0.010011022307287504
168,tanh,20,5,0.2,64,rmsprop,0.7909356753031412,0.041506063789281754
169,tanh,20,5,0.2,64,adam,0.7597465912501017,0.030674663936360598
170,tanh,20,5,0.2,64,sgd,0.8143274784088135,0.007454725211510026
171,tanh,20,5,0.3,8,rmsprop,0.79483429590861,0.0072936778433653985
172,tanh,20,5,0.3,8,adam,0.8153021335601807,0.013988978764428686
173,tanh,20,5,0.3,8,sgd,0.806530217329661,0.012875098946064947
174,tanh,20,5,0.3,32,rmsprop,0.7280701796213785,0.03327427333593087
175,tanh,20,5,0.3,32,adam,0.7568226059277853,0.033643402811182894
176,tanh,20,5,0.3,32,sgd,0.8084795077641805,0.014472946799650938
177,tanh,20,5,0.3,64,rmsprop,0.7236841917037964,0.07799403367728668
178,tanh,20,5,0.3,64,adam,0.7821637392044067,0.019723322492805912
179,tanh,20,5,0.3,64,sgd,0.8094542026519775,0.010765466581271173
180,tanh,20,10,0.001,8,rmsprop,0.7821637392044067,0.015240238801307966
181,tanh,20,10,0.001,8,adam,0.8070175449053446,0.01876060213496335
182,tanh,20,10,0.001,8,sgd,0.5472709536552429,0.0758388599097178
183,tanh,20,10,0.001,32,rmsprop,0.8099415302276611,0.010199058991760462
184,tanh,20,10,0.001,32,adam,0.81725146373113,0.00631650570080664
185,tanh,20,10,0.001,32,sgd,0.48927875359853107,0.06339405052360694
186,tanh,20,10,0.001,64,rmsprop,0.8182261188824972,0.007195330994611118
187,tanh,20,10,0.001,64,adam,0.82066277662913,0.008635494673036273
188,tanh,20,10,0.001,64,sgd,0.6749512751897176,0.08452881846315038
189,tanh,20,10,0.01,8,rmsprop,0.8167641361554464,0.005382732391266073
190,tanh,20,10,0.01,8,adam,0.8118908405303955,0.013937957381534818
191,tanh,20,10,0.01,8,sgd,0.7621832291285197,0.022021673588738428
192,tanh,20,10,0.01,32,rmsprop,0.8128654956817627,0.010940524730048959
193,tanh,20,10,0.01,32,adam,0.8201754490534464,0.010609899699563222
194,tanh,20,10,0.01,32,sgd,0.7690058350563049,0.011387257898005829
195,tanh,20,10,0.01,64,rmsprop,0.8084795276323954,0.011511691260391949
196,tanh,20,10,0.01,64,adam,0.8148148059844971,0.007948119739019415
197,tanh,20,10,0.01,64,sgd,0.7831383943557739,0.010291778740605684
198,tanh,20,10,0.1,8,rmsprop,0.8123781681060791,0.0045192900192244576
199,tanh,20,10,0.1,8,adam,0.8167641361554464,0.013148872825490715
200,tanh,20,10,0.1,8,sgd,0.8109161853790283,0.0018234128233351554
201,tanh,20,10,0.1,32,rmsprop,0.7246588667233785,0.10234150750551976
202,tanh,20,10,0.1,32,adam,0.7967836260795593,0.024376205608697223
203,tanh,20,10,0.1,32,sgd,0.81725146373113,0.008355955095795264
204,tanh,20,10,0.1,64,rmsprop,0.8153021534283956,0.007766747201936649
205,tanh,20,10,0.1,64,adam,0.8157894810040792,0.010337835198550104
206,tanh,20,10,0.1,64,sgd,0.8114035129547119,0.008607968466296793
207,tanh,20,10,0.2,8,rmsprop,0.780701756477356,0.03165016839383782
208,tanh,20,10,0.2,8,adam,0.8084795276323954,0.010609899699563224
209,tanh,20,10,0.2,8,sgd,0.808966855208079,0.0067877147949432755
210,tanh,20,10,0.2,32,rmsprop,0.7041910290718079,0.03282881178070996
211,tanh,20,10,0.2,32,adam,0.7943469882011414,0.010291778740605684
212,tanh,20,10,0.2,32,sgd,0.8157894810040792,0.015518206828378468
213,tanh,20,10,0.2,64,rmsprop,0.7816764116287231,0.009648641903731324
214,tanh,20,10,0.2,64,adam,0.7378167708714803,0.016294587748489242
215,tanh,20,10,0.2,64,sgd,0.8099415103594462,0.01490941145822649
216,tanh,20,10,0.3,8,rmsprop,0.7753411332766215,0.040168484756567736
217,tanh,20,10,0.3,8,adam,0.7962962985038757,0.015533495650486713
218,tanh,20,10,0.3,8,sgd,0.8050682346026102,0.013731992490208777
219,tanh,20,10,0.3,32,rmsprop,0.7490253448486328,0.049884068507010576
220,tanh,20,10,0.3,32,adam,0.7850877046585083,0.008607968466296793
221,tanh,20,10,0.3,32,sgd,0.8128654956817627,0.008355975953075157
222,tanh,20,10,0.3,64,rmsprop,0.7538986206054688,0.038797053040037346
223,tanh,20,10,0.3,64,adam,0.7865497271219889,0.0427240846090458
224,tanh,20,10,0.3,64,sgd,0.8143274784088135,0.010199058991760462
225,tanh,20,20,0.001,8,rmsprop,0.8157894810040792,0.007827662192393036
226,tanh,20,20,0.001,8,adam,0.8133528232574463,0.008798974681237755
227,tanh,20,20,0.001,8,sgd,0.6832358638445536,0.08016830236671064
